"","X","Y","EOBS_available"
"1",-6.44918111335773,54.8200929231544,TRUE
"2",-3.38702886437331,56.8409287301826,TRUE
"3",-3.00077576498842,52.7985371283655,TRUE
"4",-0.459836178751172,54.1693727697601,TRUE
"5",-1.98086810134536,52.2340630802658,TRUE
"6",-2.36190937563751,51.7450631069702,TRUE
"7",-4.73256949952119,54.9109959068651,TRUE
"8",-3.5697415275441,50.5224783048565,TRUE
"9",-4.59903823615804,57.4754796904014,TRUE
"10",-3.65103678644027,53.0976481006657,TRUE
"11",-3.24125749941613,54.6504073207675,TRUE
"12",-2.90076582296551,52.2355259225915,TRUE
"13",-3.73058940119244,57.5305274054594,TRUE
"14",-4.58780801452921,58.1554977212873,TRUE
"16",-2.88511625549272,50.9833680410459,TRUE
"17",-1.83246504956569,55.3307420559463,TRUE
"18",-2.46440949296338,57.171548322571,TRUE
"19",-2.54799387560269,57.4526545005977,TRUE
"20",1.34898069415212,52.4388289900139,TRUE
"21",-0.818736867366348,51.7602399586662,TRUE
"22",-0.900027985428093,51.2426658579184,TRUE
"23",-2.01177091145473,51.5869358999047,TRUE
"24",-2.14500727969789,53.0304801084755,TRUE
"26",-1.73354326033313,54.2505753349934,TRUE
"27",-5.12037764114156,57.6477499063991,TRUE
"28",0.0183845630526793,52.5945338745026,TRUE
"29",-2.29384942804736,53.27328254531,TRUE
"30",-3.1983439664491,56.8267926994487,TRUE
"31",-3.60054463520409,50.5593900680004,TRUE
"32",-1.4065199103974,51.7080115823878,TRUE
"33",-3.3397926779613,57.3255196635694,TRUE
"34",-1.23213673603732,51.6858520777798,TRUE
"35",-2.37236536947075,54.0800796916372,TRUE
"36",-2.20026068119295,52.822056919026,TRUE
"38",-0.132011183537177,51.4451302217018,TRUE
"39",-3.31319324499872,50.9690489815673,TRUE
"40",-4.80656362902427,51.8256161790434,TRUE
"41",-2.77409018772013,55.2396633838959,TRUE
"42",-5.03402266718166,58.2155992111888,TRUE
"43",-3.07605996708116,52.1969402700372,TRUE
"44",-4.26539201307186,56.440299322923,TRUE
"45",-2.24187974970645,53.1218486188953,TRUE
"46",-3.15472817513909,57.4850873152409,TRUE
"47",-1.11033112280274,51.534018935236,TRUE
"48",-4.23437173269467,51.9269150704833,TRUE
"49",0.586538097941776,51.1569007479938,TRUE
"50",-2.6720086240035,53.3033546668229,TRUE
"51",-2.60088174367465,57.6474970232103,TRUE
"52",-1.94674934603353,52.8692895868989,TRUE
"53",-3.14859436493425,55.2499516788161,TRUE
"54",-1.53103625248913,53.8862745744143,TRUE
"55",-6.50024744494748,54.4867621146388,TRUE
"56",-2.69288687929965,52.7512680999389,TRUE
"57",-2.38574572973884,54.3574682738337,TRUE
"58",-4.72597828602083,58.2725278461395,TRUE
"59",-6.30393091087352,54.6195997525526,TRUE
"60",-3.77918736249612,58.288372690693,TRUE
"63",-2.44174945135309,51.3995883606518,TRUE
"64",-2.78282857126378,52.5800008555011,TRUE
"65",-1.56715149338615,50.9496088112223,TRUE
"66",-3.2705863986268,56.0749813569663,TRUE
"67",-2.95604951381228,51.7713632056377,TRUE
"68",-0.69582401619409,53.6396723387486,TRUE
"69",0.471850007935792,51.6064934806103,TRUE
"70",-5.7464961884405,54.55864426448,TRUE
"71",-2.26398280072298,57.3334468375102,TRUE
"72",1.06039860557976,52.4707688094321,TRUE
"73",-4.7505036100254,56.4821004110372,TRUE
"75",-1.36720417757878,51.9587016786149,TRUE
"76",-3.48379084457519,55.1595403312021,TRUE
"77",-0.56008623159523,53.7827691468928,TRUE
"78",-3.87017187916207,52.5008689016266,TRUE
"79",-0.613111306837706,52.1312400289547,TRUE
"80",-6.39625330857288,54.6210380864478,TRUE
"81",-2.31008858539717,52.378248313292,TRUE
"82",-0.494273527284347,50.996847974213,TRUE
"83",-2.05607416188522,55.1045300202389,TRUE
"84",-7.63420489288491,54.2582674711355,TRUE
"85",-1.77382401254199,54.1308312076385,TRUE
"86",-6.61548176122013,54.1874098800564,TRUE
"87",-4.64034098453339,52.0806989597541,TRUE
"88",-4.83644023995111,57.1928824441631,TRUE
"89",-5.02238695468713,57.1063143460863,TRUE
